"TIV of arms exports to all, 2001-2017",,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Italy,221,239,564,451,162,433,525,224,113,115,298,219,92,144,252,762,794,5609
Jamaica,,,,,10,10,13,2,,1,,,1,,2,22,,60
Japan,442,446,483,403,398,479,517,681,611,392,304,242,296,313,349,347,500,7203
Jordan,160,132,281,168,49,48,176,161,234,89,215,176,75,196,236,212,386,2993
Kazakhstan,139,20,,47,42,44,82,25,39,58,62,94,141,95,444,244,209,1785
Kenya,,,,,,,10,,34,116,14,62,1,17,30,28,13,324
Kosovo,,,,,,,,,,,,,,1,,,,1
Kuwait,67,23,45,2,12,5,279,5,9,85,113,31,73,692,359,197,113,2110
Kyrgyzstan,,,9,5,3,2,,,,,,,,,4,9,13,45
Laos,36,,0,,4,,,7,26,,14,19,19,,7,,1,133
Latvia,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,24,39,297
Lebanon,,,,,1,,5,1,52,64,1,31,24,6,46,28,84,342
Lesotho,6,,,1,,1,,,,,,,,,,,1,9
Libya,,,,,1,16,16,16,22,37,8,73,109,,,,,297
Libya GNC,,,,,,,,,,,,,,,,2,,2
Libya HoR,,,,,,,,,,,,,,17,38,13,6,73
Lithuania,16,12,1,47,9,52,4,27,27,8,1,1,73,3,21,25,29,356
LRA (Uganda)*,,0,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,1,,,0,,,,,,,,,,,,,1
Luxembourg,,,1,,,,,,7,7,,1,,,,1,,16
Macedonia (FYROM),112,,,,,0,,,,,,,1,,,,,114
Madagascar,,,,,,,,,0,,,,0,,,,,0
Malawi,,,,,,,,3,,,,1,2,2,2,1,,10
Malaysia,26,154,147,65,59,408,526,508,1512,421,5,47,71,71,104,266,187,4579
Maldives,,,,,,15,,,,5,,,5,,,5,,28
Mali,,1,,,13,,8,3,10,,0,9,6,,,21,31,102
Malta,0,,,,18,,,,,,8,8,,12,,6,8,58
Mauritania,,27,7,,,,,,,9,5,11,10,7,1,35,,111
Mauritius,,,,6,,,,,,,,,,28,,26,19,78
Mexico,152,97,31,320,33,75,,22,59,112,229,259,63,98,334,328,218,2430
Mongolia,,,,,,,,14,,27,3,79,,,74,,,195
Montenegro,,,,,,,,,,,,,,,1,0,,1
Morocco,11,156,12,14,101,47,27,46,39,306,1403,896,76,560,46,254,351,4345
Mozambique,,,1,,,,,,,,0,0,9,12,0,,,22
Myanmar,149,157,95,194,160,175,138,93,52,68,667,398,251,101,245,261,167,3370
Namibia,21,11,,16,,72,6,66,15,,1,57,9,2,,,1,277
NATO**,18,,,,,116,,,420,,,22,,,,12,12,600
Nepal,11,9,9,34,6,,,1,,,3,,,5,14,,,91
Netherlands,184,244,125,127,102,320,240,157,296,193,147,375,331,11,64,115,35,3066
New Zealand,45,17,107,49,10,5,81,2,56,58,28,30,26,84,90,,,687
Nicaragua,,,,,,,14,,14,,,,,13,15,86,,142
Niger,,,5,,,,,8,1,0,0,,13,4,9,,,41
Nigeria,9,6,62,11,,15,60,33,65,188,62,30,30,218,186,76,26,1077
NLA (Macedonia)*,0,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,207,,,,,,,,,,,,,,,,,207
North Korea,28,9,8,8,5,15,5,5,4,1,,,,,,,,85
Norway,99,90,14,6,14,554,591,624,588,159,614,149,62,21,153,151,361,4249
NTC (Libya)*,,,,,,,,,,,1,,,,,,,1
Oman,33,40,36,41,173,302,16,75,93,30,21,120,490,736,122,415,783,3523
OSCE**,,,,,,,,,,,,,,1,1,,,1
Pakistan,423,563,650,477,443,360,692,1071,1186,2189,1093,979,1080,767,784,806,710,14274
Palestine,,,,,,,2,,14,6,,,,,,,,21
Panama,,1,,,,,,,7,,,15,30,,,3,15,69
Papua New Guinea,,,,,,,,,,,,,,3,,,4,7
Paraguay,6,,,4,1,,,,,3,8,7,0,,,,,29
Peru,5,16,22,47,368,193,172,,43,46,63,10,22,152,210,220,64,1652
Philippines,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,271,949
PIJ (Israel/Palestine)*,,,,,,,,,,,,0,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,0,,,0
Poland,36,259,351,227,112,463,990,596,169,158,87,230,152,253,164,106,197,4550
Portugal,19,,29,70,158,220,60,144,369,892,168,40,13,3,1,19,8,2213
PRC (Israel/Palestine)*,,,,,,,,,,,,,,0,,,,0
Qatar,11,11,11,,,,27,,286,30,198,319,73,55,518,896,670,3106
Romania,19,16,17,285,437,61,98,76,56,107,80,21,20,0,22,186,99,1599
Russia,,,,,,4,100,,8,22,11,103,141,202,118,169,34,911
Rwanda,,,,,,2,20,8,11,,,5,15,14,27,,,102
Saudi Arabia,61,567,167,1170,167,205,230,391,824,1083,1222,1033,1615,2741,3352,2986,4111,21924
Senegal,,,,,15,9,18,6,4,4,20,,6,7,15,51,22,177
Serbia,27,,,,,,,,,16,,0,,,,14,65,122
Seychelles,,,,,15,,,,,,8,,7,16,,,,45
Sierra Leone,,,,,,9,,,,,2,0,1,,,2,,13
Singapore,255,236,87,380,542,73,358,1116,1470,988,925,839,791,66,147,718,428,9420
Slovakia,,27,,,4,,0,0,9,9,,2,6,,,,47,104
Slovenia,41,2,17,17,3,3,2,,6,39,28,,,1,,,,160
Somalia,,,,,,,,,,,,,3,,1,2,2,8
South Africa,18,,,,267,785,954,493,134,180,212,132,2,50,2,4,,3232
South Korea,773,528,752,1059,805,1651,1755,1683,796,1282,1574,1078,184,721,272,1144,918,16975
South Sudan,,,,,,,37,44,1,,61,2,9,35,18,8,,214
Spain,156,277,253,315,363,315,339,349,233,288,187,244,175,128,143,86,72,3924
Sri Lanka,161,45,35,49,58,97,89,71,,5,21,,20,5,,,45,702
Sudan,106,49,204,293,132,65,33,128,89,182,173,95,130,61,116,101,54,2012
Suriname,,,,,,,,,,,,0,7,,3,,,9
Swaziland,1,,,,,,,,,,,,,,,,,1
Sweden,165,75,64,47,78,127,50,51,57,51,191,206,52,43,28,77,38,1399
Switzerland,68,63,117,203,168,83,108,18,39,48,32,11,6,1,2,64,34,1064
Syria,28,45,69,25,35,100,20,276,193,288,358,361,351,21,22,5,22,2217
Syria rebels*,,,,,,,,,,,,1,1,0,,,1,3
Taiwan,345,298,117,319,692,504,12,11,60,97,198,424,549,1078,630,97,493,5923
Tajikistan,,,,,,13,7,,32,,,,3,,,8,,63
Tanzania,,,51,,10,12,1,,25,,78,115,88,26,20,20,,446
Thailand,117,152,131,114,70,47,8,13,64,49,267,285,378,105,172,344,310,2625
Timor-Leste,,,,,,,,,,18,,,,,,,,18
Togo,,,,,,,,,,1,,4,,16,,,,21
Tonga,,,,,,,,,,,,,,,5,,,5
Trinidad and Tobago,0,2,,,,,6,,,24,12,12,,,46,30,,132
Tunisia,,83,1,,168,2,,3,,7,7,,38,44,7,28,107,495
Turkey,510,905,330,257,1095,531,692,640,732,484,777,1501,797,1525,460,348,410,11993
Turkmenistan,,,18,21,,,,7,36,27,236,113,71,74,172,428,75,1277
UAE,186,222,685,1211,2171,2023,919,753,561,607,1210,1088,2241,746,1249,1286,848,18004
Uganda,,34,,36,10,5,,19,23,37,471,219,20,,5,0,18,896
UIC (Somalia)*,,,,,,0,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,1,18,,,19
Ukraine Rebels*,,,,,,,,,,,,,,24,,,,24
United Kingdom,1277,720,775,217,27,308,776,490,376,491,360,578,494,211,397,259,899,8654
United Nations**,,,,2,1,2,1,0,,,,,5,25,3,9,,48
United States,493,499,593,563,523,644,820,951,968,1101,995,1196,787,572,528,496,547,12276
United Wa State (Myanmar)*,1,,,,,,,,,,,,,,,,,1
Unknown rebel group*,0,0,,,,,,,,,,,,,,,,0
Unknown recipient(s),2,,0,0,,,,12,,8,6,,29,30,10,57,17,172
Uruguay,,13,,,20,8,3,78,29,20,,,3,9,8,,0,191
Uzbekistan,8,9,,,,,,,,,,,,2,93,63,,176
Venezuela,103,50,15,9,21,380,774,737,358,208,594,680,1039,185,216,93,,5460
Viet Nam,99,58,22,298,214,41,8,187,61,152,1021,788,362,1218,862,858,690,6938
Western Sahara,,,,,,,,,,,,,,,,0,,0
Yemen,85,593,62,252,315,38,66,40,5,258,45,38,23,6,30,4,,1862
Zambia,,2,,,0,30,5,2,,,1,66,,,14,43,40,201
Zimbabwe,10,,16,13,25,25,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,,,,
Total,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,428327
